time_s	DispT_m
1.396499999999999986e+01	4.385703394064621036e-02
1.397000000000000064e+01	4.446436185096151045e-02
1.397499999999999964e+01	4.527532323708841761e-02
1.398000000000000043e+01	4.614701741424684367e-02
1.398499999999999943e+01	4.693297118053722794e-02
1.399000000000000021e+01	4.759745936476456052e-02
1.399500000000000099e+01	4.822264986067736903e-02
1.400000000000000000e+01	4.891214566474121062e-02
1.400500000000000078e+01	4.964451167423906963e-02
1.400999999999999979e+01	5.032328992694440339e-02
1.401500000000000057e+01	5.088417511470618576e-02
1.401999999999999957e+01	5.136289240871941969e-02
1.402500000000000036e+01	5.185589977121066174e-02
1.403000000000000114e+01	5.240963992473343658e-02
1.403500000000000014e+01	5.293837245841969547e-02
1.404000000000000092e+01	5.332420430732588701e-02
1.404499999999999993e+01	5.353498281737648773e-02
1.405000000000000071e+01	5.369574608775407043e-02
1.405499999999999972e+01	5.397797494019470482e-02
1.406000000000000050e+01	5.443882964861043727e-02
1.406499999999999950e+01	5.500328735349171300e-02
1.407000000000000028e+01	5.551415730158047040e-02
1.407500000000000107e+01	5.590713418472566254e-02
1.408000000000000007e+01	5.624295079395882913e-02
1.408500000000000085e+01	5.662878264286502067e-02
1.408999999999999986e+01	5.709678238551974677e-02
1.409500000000000064e+01	5.755049205969647169e-02
1.409999999999999964e+01	5.786844608333212986e-02
1.410500000000000043e+01	5.806136200778522910e-02
1.410999999999999943e+01	5.823641534664081298e-02
1.411500000000000021e+01	5.849006406212543807e-02
1.412000000000000099e+01	5.879372801728308812e-02
1.412500000000000000e+01	5.900807904445318913e-02
1.413000000000000078e+01	5.903665918140920538e-02
1.413499999999999979e+01	5.894020121918266270e-02
1.414000000000000057e+01	5.890447604798764586e-02
1.414499999999999957e+01	5.906166680124572133e-02
1.415000000000000036e+01	5.936533075640337137e-02
1.415500000000000114e+01	5.961183443764898893e-02
1.416000000000000014e+01	5.962255198900749675e-02
1.416500000000000092e+01	5.939748341047888791e-02
1.416999999999999993e+01	5.911168204091874628e-02
1.417500000000000071e+01	5.894377373630216299e-02
1.417999999999999972e+01	5.893305618494365516e-02
1.418500000000000050e+01	5.898307142461668012e-02
1.418999999999999950e+01	5.900093401021418854e-02
1.419500000000000028e+01	5.899021645885568765e-02
1.420000000000000107e+01	5.902951414717020479e-02
1.420500000000000007e+01	5.916169728059177124e-02
1.421000000000000085e+01	5.932603306808884730e-02
1.421499999999999986e+01	5.944035361591290534e-02
1.422000000000000064e+01	5.946893375286892158e-02
1.422499999999999964e+01	5.950108640694443812e-02
1.423000000000000043e+01	5.966542219444152112e-02
1.423499999999999943e+01	5.999766628655518047e-02
1.424000000000000021e+01	6.041565078953688855e-02
1.424500000000000099e+01	6.082649025827958911e-02
1.425000000000000000e+01	6.125161979550029778e-02
1.425500000000000078e+01	6.179821491478407203e-02
1.425999999999999979e+01	6.256630609547694788e-02
1.426500000000000057e+01	6.351659564926441515e-02
1.426999999999999957e+01	6.446688520305188241e-02
1.427500000000000036e+01	6.524569393510327997e-02
1.428000000000000114e+01	6.585659436253807342e-02
1.428500000000000014e+01	6.644248717013635785e-02
1.429000000000000092e+01	6.717485317963423075e-02
1.429499999999999993e+01	6.807512749374866612e-02
1.430000000000000071e+01	6.900755446193862497e-02
1.430499999999999972e+01	6.979708074534853035e-02
1.431000000000000050e+01	7.039369110430532261e-02
1.431499999999999950e+01	7.090098853527455891e-02
1.432000000000000028e+01	7.147616379151434940e-02
1.432500000000000107e+01	7.217637714693668494e-02
1.433000000000000007e+01	7.297662098170508427e-02
1.433500000000000085e+01	7.376971978223448301e-02
1.433999999999999986e+01	7.449136824037383420e-02
1.434500000000000064e+01	7.511298621916713547e-02
1.434999999999999964e+01	7.562742868437540011e-02
1.435500000000000043e+01	7.605970325583512326e-02
1.435999999999999943e+01	7.645268013898029458e-02
1.436500000000000021e+01	7.688852722755952496e-02
1.437000000000000099e+01	7.740296969276777572e-02
1.437500000000000000e+01	7.791741215797602649e-02
1.438000000000000078e+01	7.830681652400171833e-02
1.438499999999999979e+01	7.842113707182578330e-02
1.439000000000000057e+01	7.831396155824071892e-02
1.439499999999999957e+01	7.819964101041666782e-02
1.440000000000000036e+01	7.833896917807724181e-02
1.440500000000000114e+01	7.878553381801495226e-02
1.441000000000000014e+01	7.934641900577674156e-02
1.441500000000000092e+01	7.968938064924890874e-02
1.441999999999999993e+01	7.963579289245638348e-02
1.442500000000000071e+01	7.929997628322321690e-02
1.442999999999999972e+01	7.899273981094606656e-02
1.443500000000000050e+01	7.894272457127303466e-02
1.443999999999999950e+01	7.909991532453111707e-02
1.444500000000000028e+01	7.926782362914770730e-02
1.445000000000000107e+01	7.922138090659418264e-02
1.445500000000000007e+01	7.895344212263154249e-02
1.446000000000000085e+01	7.862477054763739037e-02
1.446499999999999986e+01	7.837112183215275141e-02
1.447000000000000064e+01	7.822107611313368347e-02
1.447499999999999964e+01	7.805316780851710712e-02
1.448000000000000043e+01	7.779594657591296092e-02
1.448499999999999943e+01	7.748871010363581058e-02
1.449000000000000021e+01	7.719219118271716806e-02
1.449500000000000099e+01	7.690638981315703337e-02
1.450000000000000000e+01	7.654199306696785055e-02
1.450500000000000078e+01	7.599182543056458294e-02
1.450999999999999979e+01	7.527374948954472511e-02
1.451500000000000057e+01	7.454852851428586669e-02
1.451999999999999957e+01	7.396620822380707561e-02
1.452500000000000036e+01	7.353036113522785910e-02
1.453000000000000114e+01	7.307307894393164083e-02
1.453500000000000014e+01	7.248004110209434192e-02
1.454000000000000092e+01	7.173338502411848172e-02
1.454499999999999993e+01	7.099744649750111547e-02
1.455000000000000071e+01	7.037940103582730755e-02
1.455499999999999972e+01	6.987210360485805738e-02
1.456000000000000050e+01	6.929335583149877353e-02
1.456499999999999950e+01	6.849311199673037420e-02
1.457000000000000028e+01	6.753210489158439911e-02
1.457500000000000107e+01	6.655680771796042283e-02
1.458000000000000007e+01	6.573512878047500785e-02
1.458500000000000085e+01	6.506706807912818191e-02
1.458999999999999986e+01	6.441686996337886439e-02
1.459500000000000064e+01	6.367735891964199091e-02
1.459999999999999964e+01	6.288783263623209940e-02
1.460500000000000043e+01	6.216975669521224851e-02
1.460999999999999943e+01	6.156600130201645565e-02
1.461500000000000021e+01	6.099439856289617240e-02
1.462000000000000099e+01	6.032633786154933953e-02
1.462500000000000000e+01	5.951537647542244625e-02
1.463000000000000078e+01	5.870441508929554603e-02
1.463499999999999979e+01	5.809351466186073870e-02
1.464000000000000057e+01	5.774698050126907123e-02
1.464499999999999957e+01	5.756478212817447981e-02
1.465000000000000036e+01	5.735043110100437880e-02
1.465500000000000114e+01	5.703962211160772122e-02
1.466000000000000014e+01	5.672524060509156335e-02
1.466500000000000092e+01	5.657162236895298818e-02
1.466999999999999993e+01	5.660734754014800502e-02
1.467500000000000071e+01	5.669308795101604681e-02
1.467999999999999972e+01	5.665379026270152968e-02
1.468500000000000050e+01	5.648588195808494639e-02
1.468999999999999950e+01	5.637156141026088835e-02
1.469500000000000028e+01	5.655375978335547976e-02
1.470000000000000107e+01	5.710392741975875430e-02
1.470500000000000007e+01	5.788630866892963828e-02
1.471000000000000085e+01	5.869012502081753097e-02
1.471499999999999986e+01	5.940105592759838821e-02
1.472000000000000064e+01	6.010126928302073762e-02
1.472499999999999964e+01	6.091580318626713814e-02
1.473000000000000043e+01	6.188038280853261353e-02
1.473499999999999943e+01	6.289855018759062111e-02
1.474000000000000021e+01	6.386312980985608956e-02
1.474500000000000099e+01	6.475983160685103157e-02
1.475000000000000000e+01	6.568511354080198983e-02
1.475500000000000078e+01	6.676044119377202990e-02
1.475999999999999979e+01	6.800010463423913909e-02
1.476500000000000057e+01	6.933979855405229820e-02
1.476999999999999957e+01	7.071164512794096690e-02
1.477500000000000036e+01	7.216923211269768434e-02
1.478000000000000114e+01	7.381258998766850044e-02
1.478500000000000014e+01	7.567029888980941754e-02
1.479000000000000092e+01	7.762446575417687733e-02
1.479499999999999993e+01	7.948574717343730167e-02
1.480000000000000071e+01	8.108623484297410033e-02
1.480499999999999972e+01	8.244736386550426122e-02
1.481000000000000050e+01	8.367988227173236981e-02
1.481499999999999950e+01	8.486953047252646098e-02
1.482000000000000028e+01	8.600201839940851967e-02
1.482500000000000107e+01	8.699517815863001824e-02
1.483000000000000007e+01	8.778827695915940310e-02
1.483500000000000085e+01	8.845276514338673568e-02
1.483999999999999986e+01	8.912797087897256221e-02
1.484500000000000064e+01	8.988177199118743688e-02
1.484999999999999964e+01	9.065343568899981996e-02
1.485500000000000043e+01	9.133221394170515373e-02
1.485999999999999943e+01	9.183593885555489666e-02
1.486500000000000021e+01	9.217890049902706384e-02
1.487000000000000099e+01	9.250042703978222924e-02
1.487500000000000000e+01	9.288625888868841385e-02
1.488000000000000078e+01	9.333639604574564541e-02
1.488499999999999979e+01	9.376509810008584744e-02
1.489000000000000057e+01	9.408305212372151949e-02
1.489499999999999957e+01	9.423309784274057355e-02
1.490000000000000036e+01	9.421523525714307901e-02
1.490500000000000114e+01	9.404732695252648877e-02
1.491000000000000014e+01	9.380796830551987875e-02
1.491500000000000092e+01	9.357218217563276208e-02
1.491999999999999993e+01	9.343642652509169533e-02
1.492500000000000071e+01	9.347929673052572663e-02
1.492999999999999972e+01	9.372222789465184389e-02
1.493500000000000050e+01	9.409019715796052008e-02
1.493999999999999950e+01	9.447602900686671856e-02
1.494500000000000028e+01	9.477612044490485443e-02
1.495000000000000107e+01	9.494045623240192355e-02
1.495500000000000007e+01	9.494760126664093802e-02
1.496000000000000085e+01	9.483328071881688692e-02
1.496499999999999986e+01	9.462250220876627926e-02
1.497000000000000064e+01	9.435456342480363912e-02
1.497499999999999964e+01	9.405447198676548937e-02
1.498000000000000043e+01	9.371508286041284330e-02
1.498499999999999943e+01	9.330067087455061470e-02
1.499000000000000021e+01	9.277908337510337722e-02
1.499500000000000099e+01	9.217532798190757048e-02
1.500000000000000000e+01	9.154299245175574751e-02
1.500500000000000078e+01	9.097138971263547813e-02
1.500999999999999979e+01	9.045694724742722737e-02
1.501500000000000057e+01	8.992821471374096154e-02
1.501999999999999957e+01	8.927087156375264343e-02
1.502500000000000036e+01	8.848849031458175252e-02
1.503000000000000114e+01	8.769539151405236765e-02
1.503500000000000014e+01	8.710235367221505487e-02
1.504000000000000092e+01	8.682012481977442742e-02
1.504499999999999993e+01	8.682726985401342801e-02
1.505000000000000071e+01	8.696659802167400199e-02
1.505499999999999972e+01	8.711664374069306993e-02
1.506000000000000050e+01	8.727383449395113846e-02
1.506499999999999950e+01	8.753462824367477801e-02
1.507000000000000028e+01	8.796333029801499392e-02
1.507500000000000107e+01	8.850278038305975370e-02
1.508000000000000007e+01	8.901722284826800446e-02
1.508500000000000085e+01	8.939590966293520236e-02
1.508999999999999986e+01	8.966027592977832139e-02
1.509500000000000064e+01	8.994964981645796331e-02
1.509999999999999964e+01	9.038192438791768646e-02
1.510500000000000043e+01	9.096067216127697030e-02
1.510999999999999943e+01	9.157871762295077822e-02
1.511500000000000021e+01	9.213960281071255365e-02
1.512000000000000099e+01	9.262189262184529481e-02
1.512500000000000000e+01	9.312204501857553052e-02
1.513000000000000078e+01	9.370079279193481436e-02
