Frequency [Hz] - Plot 0	Magnitude - Plot 0	Frequency [Hz] - Plot 1	Magnitude - Plot 1	
37.179487	0.0112608			
37.24359	0.0112135			
37.307692	0.0111739			
37.371795	0.011111			
37.435897	0.0110763			
37.5	0.0110134			
37.564103	0.0109676			
37.628205	0.0109271			
37.692308	0.0108782			
37.75641	0.0108389			
37.820513	0.0107799			
37.884615	0.0107361			
37.948718	0.010687			
38.012821	0.0106467			
38.076923	0.0105968			
38.141026	0.0105496			
38.205128	0.0105059			
38.269231	0.0104739			
38.333333	0.0104119			
38.397436	0.0103743			
38.461538	0.0103324			
38.525641	0.0102777			
38.589744	0.0102498			
38.653846	0.0101892			
38.717949	0.0101564			
38.782051	0.0101145			
38.846154	0.0100646			
38.910256	0.0100261			
38.974359	0.00998436			
39.038462	0.00994134			
39.102564	0.00989295			
39.166667	0.00985244			
39.230769	0.00981243			
39.294872	0.00976747			
39.358974	0.00973206			
39.423077	0.00968659			
39.487179	0.00964481			
39.551282	0.00961398			
39.615385	0.00957258			
39.679487	0.00952382			
39.74359	0.00948185			
39.807692	0.00944332			
39.871795	0.0094129			
39.935897	0.00936949			
40	0.00933113			
